City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
197,Eureka,US,55.58,broken clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
199,Talnakh,RU,57.78,clear sky,69.4865,88.3972,Talnakh Hotel
201,Cherskiy,RU,55.04,overcast clouds,68.75,161.3,Gostinitsa
203,Bundaberg,AU,53.89,clear sky,-24.85,152.35,Takalvan Motel
204,Guaraniacu,BR,59.86,overcast clouds,-25.1008,-52.8781,Dalla´s Hotel
210,Port Macquarie,AU,55.36,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
211,Husavik,IS,69.71,scattered clouds,66.0449,-17.3389,Bjarnabúð
217,Mar Del Plata,AR,57.99,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
226,Mbouda,CM,69.62,moderate rain,5.6258,10.2552,Hôtel la Différence
238,Port Lincoln,AU,52.2,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
242,Dudinka,RU,55.98,clear sky,69.4058,86.1778,Hotel Viktoria
243,Pisco,PE,60.85,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
245,San Juan,AR,57.87,clear sky,-31.5375,-68.5364,Hotel Provincial
247,Olafsvik,IS,52.99,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
251,Pouembout,NC,65.95,scattered clouds,-21.1333,164.9,Camping de Tipenga
256,Lloydminster,CA,58.68,smoke,53.2835,-110.0016,BCMInns - Lloydminster
257,Viedma,AR,61.12,broken clouds,-40.8135,-62.9967,Hotel Cristal
260,East London,ZA,63.54,few clouds,-33.0153,27.9116,Tu Casa
263,Rawson,AR,55.08,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
266,Khandyga,RU,69.42,overcast clouds,62.6667,135.6,Apel'sin
271,Rocha,UY,54.39,clear sky,-34.4833,-54.3333,Beleza Pura B&B
273,Yar-Sale,RU,70.0,overcast clouds,66.8333,70.8333,Yalemd
280,Narsaq,GL,52.02,moderate rain,60.9167,-46.05,Narsaq Kayak Hostel
283,Rio Grande,BR,53.71,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
285,Husum,DE,72.0,broken clouds,54.4858,9.0524,Best Western Plus Theodor Storm Hotel
291,Marystown,CA,63.73,overcast clouds,47.1666,-55.1483,Marystown Hotel & Convention Centre
293,Abha,SA,64.22,scattered clouds,18.2164,42.5053,Abha Hotel
305,Sioux Lookout,CA,57.58,clear sky,50.1001,-91.917,Knobby's Fly-In Camps
306,Nelson Bay,AU,55.09,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
310,Flin Flon,CA,62.44,smoke,54.7682,-101.865,Victoria Inn Flin Flon
312,Praia Da Vitoria,PT,71.85,broken clouds,38.7333,-27.0667,Hotel Branco I
314,Anaconda,US,64.78,overcast clouds,46.1285,-112.9423,Trade Wind Motel
317,Molagavita,CO,58.01,clear sky,6.6732,-72.8087,Hotel Jireh-Beraca
322,Ordynskoye,RU,61.21,scattered clouds,54.3656,81.8994,Lunevka
326,Fort Nelson,CA,54.99,few clouds,58.8053,-122.7002,The Fort Nelson Hotel
327,Bonnyville,CA,60.12,scattered clouds,54.2668,-110.735,Best Western Bonnyville Inn & Suites
331,Pacific Grove,US,58.24,mist,36.6177,-121.9166,Lovers Point Inn
332,Creel,MX,65.41,clear sky,27.75,-107.6333,The Lodge at Creel Hotel & SPA
336,Charters Towers,AU,55.85,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
337,Hualmay,PE,66.04,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
338,Mount Isa,AU,55.17,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
339,Verkhnevilyuysk,RU,57.65,light rain,63.4453,120.3167,Gostinitsa Mila
345,Omsukchan,RU,56.82,overcast clouds,62.5333,155.8,Zori
346,High Level,CA,55.51,mist,58.5169,-117.136,Days Inn by Wyndham High Level
347,Flinders,AU,55.18,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
348,Sitka,US,55.29,broken clouds,57.0531,-135.33,Westmark Sitka
353,Santa Maria,BR,52.9,clear sky,-29.6842,-53.8069,Hotel Morotin
354,San Agustin,MX,68.32,scattered clouds,20.5333,-103.4667,Motel Garden
360,Port Hardy,CA,55.58,light intensity shower rain,50.6996,-127.4199,Airport Inn
364,San Julian,MX,63.86,broken clouds,21.0167,-102.1667,La Nueva España
367,Zhongshu,CN,63.1,overcast clouds,24.5167,103.7667,Xintianlong Hotel
372,Saldanha,ZA,55.76,few clouds,-33.0117,17.9442,Blue Bay Lodge
374,Lagoa,PT,68.7,overcast clouds,39.05,-27.9833,Casa Das Faias
380,Comodoro Rivadavia,AR,51.66,clear sky,-45.8667,-67.5,Austral Hotel
381,Khatanga,RU,55.31,overcast clouds,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
384,Jijiga,ET,67.46,broken clouds,9.35,42.8,RAMAAS HOTEL
385,Kruisfontein,ZA,54.88,light rain,-34.0033,24.7314,Oyster Bay House Rental
395,Hofn,IS,53.83,overcast clouds,64.2539,-15.2082,Hótel Höfn
397,Prince Rupert,CA,55.49,overcast clouds,54.3161,-130.3201,Crest Hotel
398,Lagos De Moreno,MX,65.39,broken clouds,21.35,-101.9167,Scala Hotel
399,Plettenberg Bay,ZA,50.83,moderate rain,-34.0527,23.3716,Thanda Vista B&B
401,Port Augusta,AU,50.14,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
404,Sao Joao Da Barra,BR,71.69,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
406,Cedar City,US,67.39,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
409,Lima,PE,61.05,mist,-12.0432,-77.0282,Gran Hotel Bolivar Lima
411,Strezhevoy,RU,67.98,overcast clouds,60.7333,77.5889,Sibiryachka
413,Yar,RU,70.07,moderate rain,58.249,52.1026,Комнаты отдыха на ж/д вокзале
414,Ferme-Neuve,CA,62.38,overcast clouds,46.7001,-75.4493,Pourvoirie Club Fontbrune Ltee
417,Mahanoro,MG,69.4,light rain,-19.9,48.8,BUNGALOW MAHAMANINA
423,Havre-Saint-Pierre,CA,59.36,mist,50.2334,-63.5986,Auberge Niapiskau
424,Englehart,CA,53.62,overcast clouds,47.8169,-79.8664,"The Englehart Motel & Restaurant- Best Hotel & Motel in Englehart ,Ontario,Canada"
426,Ocuituco,MX,64.08,overcast clouds,18.8667,-98.7667,Hotel Ecológico Quinta La Joya
428,Ocampo,MX,61.47,overcast clouds,21.65,-101.5,Hotel Estancia del Vaquero
430,Cap-Aux-Meules,CA,69.85,broken clouds,47.3821,-61.8597,Auberge Madeli
435,Huarmey,PE,66.58,broken clouds,-10.0681,-78.1522,Hotel Miramar
436,Thessalon,CA,70.09,overcast clouds,46.2501,-83.5666,Carolyn Beach Inn & Restaurant
443,Terrace Bay,CA,56.82,clear sky,48.7834,-87.1,Drifters Motel & Restaurant
444,Harnosand,SE,69.01,clear sky,62.6323,17.9379,First Hotel Stadt
445,Fortuna,US,55.33,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
446,Chulym,RU,62.85,overcast clouds,55.0997,80.9572,"""U Tat'yany"""
448,Santo Antonio Do Amparo,BR,66.7,clear sky,-20.9464,-44.9189,Hotel Pousada Dos Viajantes
449,Leshukonskoye,RU,63.81,overcast clouds,64.8989,45.7622,Pryalitsa Hostel
450,Boddam,GB,65.43,broken clouds,57.4667,-1.7833,Palace Hotel
454,Chumikan,RU,58.32,overcast clouds,54.7183,135.315,Fortuna
457,Atasu,KZ,71.08,scattered clouds,48.6814,71.6433,Dostyk
458,Ust-Barguzin,RU,54.84,clear sky,53.45,108.9833,Chivurkiyskaya Skazka
459,Duiwelskloof,ZA,67.82,clear sky,-23.6934,30.14,Silvermist Guesthouse
461,Vestmannaeyjar,IS,54.59,overcast clouds,63.4427,-20.2734,Glamping & Camping
463,Esperance,AU,53.44,light rain,-33.8667,121.9,Hospitality Esperance
464,Miyako,JP,71.92,clear sky,39.6367,141.9525,Hotel Route Inn Miyako
