City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Cape Town,ZA,2021-07-17 14:45:18,-33.9258,18.4232,65.12,63,0,1.01
68,Cabo San Lucas,MX,2021-07-17 14:45:32,22.8909,-109.9124,86.5,69,21,3.0
69,Svetlogorsk,BY,2021-07-17 14:48:34,52.6333,29.7333,87.85,49,86,4.7
70,Bandarbeyla,SO,2021-07-17 14:48:34,9.4942,50.8122,78.53,71,100,32.32
71,Saint-Augustin,CA,2021-07-17 14:48:34,51.226,-58.6502,71.19,44,0,16.82
72,Broken Hill,AU,2021-07-17 14:48:35,-31.95,141.4333,46.11,76,5,11.5
73,Atuona,PF,2021-07-17 14:48:35,-9.8,-139.0333,77.45,77,54,24.94
74,Yellowknife,CA,2021-07-17 14:43:52,62.456,-114.3525,58.28,54,20,1.01
75,Hasaki,JP,2021-07-17 14:48:36,35.7333,140.8333,73.69,88,92,8.5
76,Port-Gentil,GA,2021-07-17 14:48:36,-0.7193,8.7815,82.36,61,40,10.36
77,Molchanovo,RU,2021-07-17 14:48:36,57.5817,83.7692,55.81,93,84,5.75
78,Bethel,US,2021-07-17 14:48:37,41.3712,-73.414,87.48,77,1,1.99
79,Mataura,NZ,2021-07-17 14:48:37,-46.1927,168.8643,46.47,99,100,2.8
80,Cidreira,BR,2021-07-17 14:48:37,-30.1811,-50.2056,62.2,72,58,9.66
81,Igrim,RU,2021-07-17 14:48:38,63.1906,64.4162,68.4,52,77,5.86
82,Isabela,PH,2021-07-17 14:48:38,6.7085,121.9711,78.75,83,100,4.59
83,Enterprise,US,2021-07-17 14:48:39,36.0252,-115.2419,90.64,29,40,4.0
84,Mar Del Plata,AR,2021-07-17 14:45:00,-38.0023,-57.5575,49.08,68,40,18.01
85,Sistranda,NO,2021-07-17 14:48:39,63.7256,8.834,57.9,89,100,40.29
86,San Jeronimo,PE,2021-07-17 14:48:39,-11.9472,-75.2829,54.59,45,3,2.26
87,Coxim,BR,2021-07-17 14:48:40,-18.5067,-54.76,89.15,30,69,2.1
88,Les Cayes,HT,2021-07-17 14:48:40,18.2,-73.75,85.93,65,19,8.93
89,Acapulco,MX,2021-07-17 14:48:41,16.8634,-99.8901,82.26,56,93,1.21
90,Lagoa,PT,2021-07-17 14:48:41,39.05,-27.9833,67.24,71,31,13.31
91,Souillac,MU,2021-07-17 14:48:41,-20.5167,57.5167,71.98,68,40,14.97
92,Padang,ID,2021-07-17 14:48:42,-0.9492,100.3543,77.05,84,15,3.69
93,Kaeo,NZ,2021-07-17 14:48:42,-35.1,173.7833,59.32,88,24,13.4
94,Te Anau,NZ,2021-07-17 14:48:42,-45.4167,167.7167,46.31,96,100,1.5
95,Sitka,US,2021-07-17 14:47:01,57.0531,-135.33,57.09,88,90,0.0
96,Lebu,CL,2021-07-17 14:48:43,-37.6167,-73.65,48.54,71,0,12.33
97,Segou,ML,2021-07-17 14:48:43,13.4317,-6.2157,94.8,39,38,8.14
98,Khatanga,RU,2021-07-17 14:48:44,71.9667,102.5,54.07,60,85,8.72
99,Nikolskoye,RU,2021-07-17 14:48:44,59.7035,30.7861,80.49,32,0,5.95
100,Husavik,IS,2021-07-17 14:48:44,66.0449,-17.3389,55.31,67,18,2.71
101,Vardo,NO,2021-07-17 14:48:45,70.3705,31.1107,57.4,86,98,3.56
102,Deputatskiy,RU,2021-07-17 14:48:45,69.3,139.9,33.12,83,100,13.67
103,Gizo,SB,2021-07-17 14:48:45,-8.103,156.8419,82.27,81,100,8.72
104,Tuktoyaktuk,CA,2021-07-17 14:48:46,69.4541,-133.0374,57.2,77,75,6.91
105,Katsuura,JP,2021-07-17 14:48:46,35.1333,140.3,79.11,91,4,5.37
106,Altamira,BR,2021-07-17 14:48:46,-3.2033,-52.2064,86.09,74,75,5.75
107,College,US,2021-07-17 14:48:47,64.8569,-147.8028,60.91,83,75,3.44
108,Portland,US,2021-07-17 14:45:42,45.5234,-122.6762,63.95,80,40,1.99
109,Georgetown,MY,2021-07-17 14:44:26,5.4112,100.3354,84.88,78,20,3.0
110,Boueni,YT,2021-07-17 14:48:47,-12.9025,45.0761,76.98,68,14,15.77
111,Natal,BR,2021-07-17 14:48:48,-5.795,-35.2094,82.62,69,75,9.22
112,Leningradskiy,RU,2021-07-17 14:48:48,69.3833,178.4167,39.06,91,91,8.39
113,Oistins,BB,2021-07-17 14:48:48,13.0667,-59.5333,84.29,74,20,17.27
114,Zhezkazgan,KZ,2021-07-17 14:48:49,47.8043,67.7144,85.87,16,100,7.47
115,Sao Filipe,CV,2021-07-17 14:48:49,14.8961,-24.4956,74.62,80,35,7.65
116,Sisimiut,GL,2021-07-17 14:48:50,66.9395,-53.6735,52.25,71,5,3.51
117,Saint-Georges,GD,2021-07-17 14:48:50,12.0564,-61.7485,78.48,94,75,17.27
118,Kostomuksha,RU,2021-07-17 14:48:50,64.571,30.5767,69.62,43,23,14.05
119,Tezu,IN,2021-07-17 14:48:51,27.9167,96.1667,77.92,89,100,1.79
120,Bluff,NZ,2021-07-17 14:48:51,-46.6,168.3333,46.8,93,100,12.57
121,Grindavik,IS,2021-07-17 14:48:51,63.8424,-22.4338,52.56,93,90,10.36
122,Saskylakh,RU,2021-07-17 14:48:52,71.9167,114.0833,50.61,59,4,7.23
123,Tautira,PF,2021-07-17 14:48:52,-17.7333,-149.15,71.62,72,62,22.19
124,Puerto Carreno,CO,2021-07-17 14:44:11,6.189,-67.4859,84.36,68,93,5.46
125,Koror,PW,2021-07-17 14:46:51,7.3398,134.4733,79.12,89,75,0.0
126,Manaure,CO,2021-07-17 14:48:53,11.7751,-72.4445,87.48,57,34,23.98
127,Richards Bay,ZA,2021-07-17 14:48:53,-28.783,32.0377,63.95,64,0,5.82
128,Port Alfred,ZA,2021-07-17 14:48:54,-33.5906,26.891,62.42,57,2,12.48
129,Makakilo City,US,2021-07-17 14:48:54,21.3469,-158.0858,77.32,68,75,0.0
130,La Asuncion,VE,2021-07-17 14:45:09,11.0333,-63.8628,82.13,78,1,11.5
131,Pisco,PE,2021-07-17 14:48:54,-13.7,-76.2167,62.02,94,90,3.44
132,Basco,PH,2021-07-17 14:48:55,20.4487,121.9702,83.35,79,99,5.88
133,Luba,GQ,2021-07-17 14:48:55,3.4568,8.5547,77.81,79,79,5.75
134,Lata,PT,2021-07-17 14:48:55,40.1629,-8.3327,88.36,45,0,13.13
135,Koygorodok,RU,2021-07-17 14:48:56,60.445,50.9968,74.35,56,100,4.74
136,Zaysan,KZ,2021-07-17 14:48:56,47.4667,84.8667,66.94,47,6,6.26
137,Sena Madureira,BR,2021-07-17 14:48:57,-9.0656,-68.6569,91.98,38,6,2.24
138,Rio Gallegos,AR,2021-07-17 14:48:57,-51.6226,-69.2181,32.05,93,0,3.44
139,Batemans Bay,AU,2021-07-17 14:48:57,-35.7167,150.1833,46.98,67,45,6.11
140,Bathsheba,BB,2021-07-17 14:48:58,13.2167,-59.5167,84.81,74,20,17.27
141,Florianopolis,BR,2021-07-17 14:44:35,-27.6146,-48.5012,69.62,83,40,1.01
142,Cururupu,BR,2021-07-17 14:48:03,-1.8283,-44.8683,87.93,55,5,7.58
143,Dikson,RU,2021-07-17 14:48:58,73.5069,80.5464,34.61,90,95,12.06
144,Robertsport,LR,2021-07-17 14:48:59,6.7533,-11.3686,76.71,90,100,12.71
145,Meleuz,RU,2021-07-17 14:48:59,52.9667,55.9167,79.7,49,21,5.75
146,Nome,US,2021-07-17 14:48:59,64.5011,-165.4064,50.07,87,90,13.8
147,Nikolayevsk-Na-Amure,RU,2021-07-17 14:49:00,53.1406,140.73,61.86,85,2,3.78
148,Honningsvag,NO,2021-07-17 14:49:00,70.9821,25.9704,49.8,82,97,22.44
149,Tilichiki,RU,2021-07-17 14:49:00,60.4667,166.1,49.23,92,100,3.27
150,Kavieng,PG,2021-07-17 14:49:01,-2.5744,150.7967,83.07,78,100,13.18
151,Pevek,RU,2021-07-17 14:49:01,69.7008,170.3133,43.43,73,59,9.51
152,Los Llanos De Aridane,ES,2021-07-17 14:49:01,28.6585,-17.9182,73.15,69,20,16.11
153,Namibe,AO,2021-07-17 14:49:02,-15.1961,12.1522,74.03,78,90,25.32
154,Touros,BR,2021-07-17 14:49:02,-5.1989,-35.4608,81.5,62,10,14.74
155,Saint-Philippe,RE,2021-07-17 14:49:02,-21.3585,55.7679,71.19,82,68,16.93
156,Ronneby,SE,2021-07-17 14:49:03,56.21,15.276,79.3,69,0,8.05
157,Vestmannaeyjar,IS,2021-07-17 14:49:03,63.4427,-20.2734,52.79,87,75,19.57
158,Guadalupe Y Calvo,MX,2021-07-17 14:49:04,26.1,-106.9667,62.91,70,17,1.12
159,Geraldton,AU,2021-07-17 14:49:04,-28.7667,114.6,55.81,94,75,8.05
160,Xinzhi,CN,2021-07-17 14:49:04,36.4989,111.7047,78.24,80,39,3.18
161,Kiunga,PG,2021-07-17 14:49:05,-6.1219,141.2906,72.95,99,99,1.83
162,Ilulissat,GL,2021-07-17 14:49:05,69.2167,-51.1,60.82,41,20,9.22
163,Kismayo,SO,2021-07-17 14:49:05,-0.3582,42.5454,77.7,75,7,19.57
164,Sarahan,IN,2021-07-17 14:49:06,31.5167,77.8,68.59,94,79,2.71
165,Torbay,CA,2021-07-17 14:49:06,47.6666,-52.7314,78.76,71,75,18.41
166,Saravan,AM,2021-07-17 14:49:06,39.7196,45.6483,84.85,40,56,5.32
167,Tiksi,RU,2021-07-17 14:49:07,71.6872,128.8694,37.8,79,100,13.22
168,Port Elizabeth,ZA,2021-07-17 14:49:07,-33.918,25.5701,65.1,59,0,14.97
169,Vanavara,RU,2021-07-17 14:49:08,60.34,102.2797,64.56,92,100,8.68
170,Kazlu Ruda,LT,2021-07-17 14:49:08,54.7667,23.5,79.66,56,95,2.26
171,Albanel,CA,2021-07-17 14:49:08,48.8832,-72.4487,69.94,56,0,4.61
172,Dunedin,NZ,2021-07-17 14:49:09,-45.8742,170.5036,49.8,92,100,15.01
173,Longyearbyen,SJ,2021-07-17 14:49:09,78.2186,15.6401,49.84,71,75,6.91
174,Podporozhye,RU,2021-07-17 14:49:09,60.9112,34.1706,79.05,28,0,7.61
175,Sioux Lookout,CA,2021-07-17 14:49:10,50.1001,-91.917,75.27,60,90,4.61
176,Coquimbo,CL,2021-07-17 14:49:10,-29.9533,-71.3436,60.53,26,0,5.75
177,Sao Joao Da Barra,BR,2021-07-17 14:49:10,-21.6403,-41.0511,80.69,73,2,9.33
178,Palauig,PH,2021-07-17 14:49:11,15.435,119.9045,80.47,84,100,4.32
