,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Kaitangata,NZ,-46.2817,169.8464,38.44,87,82,4.85,broken clouds
81,Dikson,RU,73.5069,80.5464,46.58,68,100,11.32,overcast clouds
82,Balingasay,PH,16.3573,119.8564,80.29,86,100,13.33,overcast clouds
83,Kodiak,US,57.79,-152.4072,58.51,77,90,4.61,light rain
84,Matara,LK,5.9485,80.5353,79.72,84,67,10.47,broken clouds
85,Tucuman,AR,-26.8241,-65.2226,55.4,50,0,0.0,clear sky
86,Lavrentiya,RU,65.5833,-171.0,45.37,97,100,5.75,light rain
87,Keti Bandar,PK,24.1447,67.4497,83.8,84,68,24.36,broken clouds
88,Chuy,UY,-33.6971,-53.4616,51.98,58,1,11.32,clear sky
89,Torbay,CA,47.6666,-52.7314,77.77,85,75,14.97,broken clouds
90,Nanga Eboko,CM,4.6833,12.3667,84.96,50,86,4.12,overcast clouds
91,Olinda,BR,-8.0089,-34.8553,73.13,83,75,5.75,broken clouds
92,Santo Antonio Do Ica,BR,-3.1022,-67.9397,74.62,68,100,3.06,overcast clouds
93,Calama,CL,-22.4667,-68.9333,63.09,8,37,17.27,scattered clouds
94,Mahebourg,MU,-20.4081,57.7,70.09,83,75,20.71,light intensity shower rain
95,Bara,NG,10.3744,10.7288,87.58,51,82,7.2,broken clouds
96,Kununurra,AU,-15.7667,128.7333,58.98,77,25,0.0,scattered clouds
97,Ngunguru,NZ,-35.6167,174.5,48.16,81,94,9.69,overcast clouds
98,San Cristobal,VE,7.7669,-72.225,77.74,58,41,8.12,scattered clouds
99,Hovd,MN,48.0056,91.6419,67.64,46,93,5.68,overcast clouds
100,Codrington,AU,-38.2667,141.9667,49.84,62,98,17.65,overcast clouds
101,Astoria,US,46.1879,-123.8313,61.02,85,90,6.91,overcast clouds
102,Walvis Bay,NA,-22.9575,14.5053,70.75,46,0,4.61,clear sky
103,Adrar,MR,20.5022,-10.0711,112.93,4,80,19.77,broken clouds
104,Pangnirtung,CA,66.1451,-65.7125,41.0,100,90,6.91,light intensity drizzle
105,Talcahuano,CL,-36.7167,-73.1167,49.68,93,0,9.22,clear sky
106,Beyneu,KZ,45.3167,55.2,102.0,15,33,9.71,scattered clouds
107,Leogane,HT,18.5108,-72.6339,89.8,63,35,3.24,scattered clouds
108,Komsomolskiy,UZ,40.4272,71.7189,92.62,19,100,11.5,overcast clouds
109,Nikolskoye,RU,59.7035,30.7861,71.4,35,80,7.87,broken clouds
110,Helong,CN,42.5397,128.9972,70.56,96,95,3.89,overcast clouds
111,Yayva,RU,59.3303,57.2641,68.16,85,100,2.51,overcast clouds
112,Zhigansk,RU,66.7697,123.3711,56.79,76,100,8.68,overcast clouds
113,Saint-Georges,GD,12.0564,-61.7485,85.68,70,20,23.02,few clouds
114,Batagay,RU,67.6333,134.6333,60.28,68,100,8.99,overcast clouds
115,Bengkulu,ID,-3.8004,102.2655,76.87,90,23,4.76,heavy intensity rain
116,Camocim,BR,-2.9022,-40.8411,89.31,55,18,13.31,few clouds
117,Vestmanna,FO,62.1564,-7.1664,50.92,93,90,8.05,overcast clouds
118,Hermanus,ZA,-34.4187,19.2345,55.9,71,47,12.1,light rain
119,Bathsheba,BB,13.2167,-59.5167,86.61,74,40,21.85,scattered clouds
120,Soubre,CI,5.7856,-6.6083,81.5,64,96,4.68,overcast clouds
121,Aksarka,RU,66.5606,67.7975,72.95,46,54,13.38,broken clouds
122,Huangmei,CN,30.1924,116.025,80.71,85,100,4.81,overcast clouds
123,Cove,BJ,7.221,2.3402,84.02,61,95,8.05,light rain
124,Qobu,AZ,40.4047,49.7131,88.92,50,6,3.67,clear sky
125,Sur,OM,22.5667,59.5289,97.05,49,60,8.99,broken clouds
126,Rabo De Peixe,PT,37.8,-25.5833,71.11,83,75,18.41,broken clouds
127,Popondetta,PG,-8.7537,148.2534,72.95,96,94,2.28,overcast clouds
128,Guasdualito,VE,7.2424,-70.7324,81.5,72,78,2.62,broken clouds
129,Tsabong,BW,-26.0217,22.401,69.96,18,19,9.62,few clouds
130,Jiaozuo,CN,35.2397,113.2331,72.68,91,100,8.19,light rain
131,Synya,RU,65.3718,58.0387,64.99,44,56,1.63,broken clouds
132,Pochutla,MX,15.7432,-96.4661,82.81,55,80,2.48,broken clouds
133,Dodoma,TZ,-6.1722,35.7395,79.25,27,8,6.55,clear sky
134,Camopi,GF,3.1655,-52.3158,87.06,55,20,4.29,few clouds
135,Lerwick,GB,60.1545,-1.1494,55.4,73,51,7.56,broken clouds
136,Half Moon Bay,US,37.4636,-122.4286,61.61,90,75,0.0,broken clouds
137,Longyearbyen,SJ,78.2186,15.6401,42.64,70,75,8.05,broken clouds
138,Arraial Do Cabo,BR,-22.9661,-42.0278,69.76,49,75,18.41,broken clouds
139,Georgetown,MY,5.4112,100.3354,84.88,75,20,0.0,few clouds
140,Guider,CM,9.9342,13.9486,85.95,55,94,3.33,overcast clouds
141,Panguna,PG,-6.3164,155.4848,67.55,96,90,1.72,overcast clouds
142,Port Elizabeth,ZA,-33.918,25.5701,57.49,82,40,19.57,scattered clouds
143,Lakes Entrance,AU,-37.8811,147.981,47.57,72,80,18.61,broken clouds
144,Beringovskiy,RU,63.05,179.3167,44.67,93,100,16.02,light rain
145,Klaksvik,FO,62.2266,-6.589,52.72,90,49,1.7,scattered clouds
146,Sorland,NO,67.667,12.6934,49.86,76,75,12.66,broken clouds
147,Thompson,CA,55.7435,-97.8558,59.16,67,75,2.3,broken clouds
148,Whitehorse,CA,60.7161,-135.0538,50.77,93,75,1.99,light rain
149,Victoria,HK,22.2855,114.1577,82.38,92,100,7.0,overcast clouds
150,Russell,US,32.3502,-85.1999,79.88,84,90,0.0,overcast clouds
151,Moussoro,TD,13.6408,16.4901,95.13,33,85,3.96,overcast clouds
152,Talara,PE,-4.5772,-81.2719,68.76,83,0,13.8,clear sky
153,Grindavik,IS,63.8424,-22.4338,54.07,87,90,14.97,overcast clouds
154,Tasiilaq,GL,65.6145,-37.6368,48.36,97,100,2.21,overcast clouds
155,Dabrowa Tarnowska,PL,50.1746,20.9863,67.87,67,99,6.17,light rain
156,Tilichiki,RU,60.4667,166.1,49.87,69,77,3.76,broken clouds
157,Cabo San Lucas,MX,22.8909,-109.9124,86.5,56,77,11.1,broken clouds
158,Male,MV,4.1748,73.5089,84.15,79,75,9.22,broken clouds
159,Vardo,NO,70.3705,31.1107,49.98,62,40,20.71,scattered clouds
160,Aklavik,CA,68.2191,-135.0107,68.83,72,1,6.91,haze
161,Kouango,CF,4.9934,19.9619,75.04,88,69,6.76,moderate rain
162,Tuktoyaktuk,CA,69.4541,-133.0374,64.4,72,1,11.5,clear sky
163,Hirara,JP,24.8,125.2833,82.62,82,100,34.47,overcast clouds
164,Ribeira Grande,PT,38.5167,-28.7,72.0,78,75,17.27,broken clouds
165,Kargil,IN,34.5667,76.1,61.99,48,99,5.46,overcast clouds
166,Nortelandia,BR,-14.4547,-56.8028,81.43,12,0,4.09,clear sky
167,Guerrero Negro,MX,27.9769,-114.0611,72.59,73,87,13.4,overcast clouds
168,Port Blair,IN,11.6667,92.75,81.73,87,100,19.24,overcast clouds
169,Saint-Joseph,RE,-21.3667,55.6167,70.18,75,12,14.14,few clouds
170,Alyangula,AU,-13.8483,136.4192,69.67,73,78,5.75,broken clouds
171,Morro Bay,US,35.3658,-120.8499,65.14,75,0,1.01,clear sky
172,Tessalit,ML,20.1986,1.0114,110.23,12,92,18.79,overcast clouds
173,Ancud,CL,-41.8697,-73.8203,47.73,92,87,2.57,overcast clouds
174,Puerto Del Rosario,ES,28.5004,-13.8627,82.08,73,0,18.41,clear sky
175,Majene,ID,-3.5403,118.9707,78.19,87,100,8.79,overcast clouds
176,Deputatskiy,RU,69.3,139.9,52.5,84,78,7.72,broken clouds
177,Port Hawkesbury,CA,45.6169,-61.3485,76.59,87,75,1.99,broken clouds
178,Geraldton,AU,-28.7667,114.6,68.41,88,75,18.41,broken clouds
179,Bhag,PK,29.0415,67.8239,108.64,24,8,10.07,clear sky
